x,y
9.969999790191650391e-01,0.000000000000000000e+00
9.968481311031281988e-01,1.740004828775004384e-02
9.794030295792861551e-01,3.420150632573713823e-02
9.746624369593975823e-01,5.107989221258885104e-02
9.855932575532395656e-01,6.891939213206092762e-02
9.623240990207968526e-01,8.419244655867635929e-02
9.766204949609843533e-01,1.026469469153730857e-01
9.855983001889068174e-01,1.210162505526599791e-01
9.773945731370178303e-01,1.373638446304910055e-01
9.857129901411957329e-01,1.561215951184199702e-01
9.759444809216736294e-01,1.720853379660400306e-01
9.934066762132790496e-01,1.930986904049959707e-01
1.022164202264548516e+00,2.172677010413921472e-01
9.987292948701604889e-01,2.305748179926505881e-01
1.043067954074178960e+00,2.600660410424581737e-01
1.054791012075941392e+00,2.826303902739567553e-01
1.036240062324894184e+00,2.971370462571861215e-01
1.057673012133447887e+00,3.233630796349781233e-01
1.044260105511795711e+00,3.393006645122780829e-01
1.078836729410878270e+00,3.714732631936291107e-01
1.078767134897955060e+00,3.926391129820487880e-01
1.022270598387279295e+00,3.924129028578408618e-01
9.132761146050824008e-01,3.689874885045841268e-01
9.453584440692288648e-01,4.012808372785358069e-01
8.724359020772287643e-01,3.884334755014407503e-01
9.217149891947087337e-01,4.298027422240462414e-01
8.987940527484018505e-01,4.383711335661862329e-01
8.812054792505661371e-01,4.489966009541983549e-01
8.855964616228647612e-01,4.708799732932131832e-01
8.851151208141476712e-01,4.906273040581780043e-01
8.703555352038527815e-01,5.024999828413808656e-01
9.574558710787650639e-01,5.752975045297523682e-01
8.361754334842138592e-01,5.225003801514939150e-01
9.242149754834215747e-01,6.001921982901661234e-01
8.920444190884556646e-01,6.016915331074179640e-01
8.920565776641485867e-01,6.246247138616033423e-01
9.675843233901970653e-01,7.029911302602378509e-01
9.887108052174975459e-01,7.450469991981581996e-01
1.031506105823674746e+00,8.059008584162123956e-01
9.667695607183864892e-01,7.828745187242619474e-01
1.008880574856542145e+00,8.465512793519440748e-01
1.001499649706975692e+00,8.705903226265458983e-01
9.698039790206742783e-01,8.732153831533903121e-01
9.675809357169836700e-01,9.022837756009917110e-01
9.977243016750790838e-01,9.634911104746906041e-01
1.000556093881895814e+00,1.000556042928066880e+00
9.801629964110579740e-01,1.014988442369794353e+00
1.008675584437166650e+00,1.081672077642873653e+00
9.789381461964514752e-01,1.087220897025725552e+00
1.010330911843463797e+00,1.162252696740636138e+00
1.013033291084201259e+00,1.207285994700342258e+00
9.666361635023177357e-01,1.193696179278942893e+00
1.000449935081664909e+00,1.280517445174056412e+00
