x,y
3.045723305652149993e+00,3.201184084168544053e-01
3.161755911469098734e+00,3.882147985597801942e-01
3.098053639918655122e+00,4.354030302059548885e-01
3.110724325716940353e+00,4.926903150936809417e-01
1.162039315901200354e+00,2.469990732665304500e-01
1.145859197204154523e+00,2.645424312650213050e-01
1.199285579268007496e+00,2.990154682264941077e-01
1.214168736928955106e+00,3.253355214899776304e-01
1.033836967666298401e+00,2.964479699758372222e-01
1.263756798913955537e+00,3.863692140372947947e-01
1.122246756432049741e+00,3.646400625613500646e-01
1.178588923274971556e+00,4.058206968276814042e-01
1.142666306859774439e+00,4.158965087514791548e-01
1.140835289054279000e+00,4.379256218135446077e-01
1.172424010333736222e+00,4.736900309963612554e-01
1.161216879922957634e+00,4.929073038494274916e-01
1.037330831606359194e+00,4.618494255065512255e-01
1.397696991447537451e+00,1.131832655848976632e+00
2.188676705005550838e-01,2.801378264247581518e-01
6.343129999569501187e-01,8.417617293567678516e-01
1.688349644627467949e+00,3.045863138565755968e+00
1.116872897381505636e+00,2.100532238758832992e+00
1.068239686853443393e+00,2.096538247055831583e+00
1.474242239323219739e+00,3.022644248886540819e+00
1.415982642786874912e+00,3.036584285191229249e+00
1.329012061694939462e+00,2.985009663516759559e+00
1.285700864058872517e+00,3.028921103069553755e+00
1.155099506506496843e+00,2.858971286225649333e+00
1.095530905161812063e+00,2.853955248022055802e+00
1.073430409706074284e+00,2.949225448559360530e+00
1.013656605671417799e+00,2.943872156218138247e+00
9.542446165503165600e-01,2.936862539677007611e+00
9.250642087628322408e-01,3.025748242488234041e+00
8.510304866437924387e-01,2.967895542248198737e+00
7.926334511641277558e-01,2.958147809372554615e+00
7.377409451071724744e-01,2.958916774448862252e+00
6.988106156658978607e-01,3.026880720768580169e+00
6.335070391875151641e-01,2.980415644311729118e+00
5.747168422540244181e-01,2.956661133235218841e+00
5.209446667390257302e-01,2.954423235454961549e+00
4.606214108305855537e-01,2.908248267628887440e+00
4.187024262741438352e-01,2.979221563598623224e+00
3.603677883803329540e-01,2.934958970517033805e+00
3.135332711460649402e-01,2.983068446295852993e+00
2.560201350665496367e-01,2.926321913330880431e+00
2.065490600991026493e-01,2.953787108519577043e+00
1.559351185166376608e-01,2.975416508270354310e+00
1.012784821136287206e-01,2.900232125405520556e+00
5.154582753205953077e-02,2.953049959086295750e+00
1.529293105431238971e-07,3.003000020980830964e+00
-5.024532901315183903e-02,2.878561465451884516e+00
-1.022204699976013015e-01,2.927215638538535725e+00
-1.519834666175904347e-01,2.900020220734014664e+00
-2.048746100792732394e-01,2.929845662661502370e+00
-2.591138683063250459e-01,2.961686900757709129e+00
-3.018257866783218279e-01,2.871682036693734119e+00
-3.514710369387586963e-01,2.862503183097892201e+00
-4.072898974909822112e-01,2.898019370876851575e+00
-4.585874655060213079e-01,2.895408354698779885e+00
-5.159953804419152856e-01,2.926356188381200152e+00
-5.733808843631525987e-01,2.949789831367119142e+00
-6.180173509904161033e-01,2.907543862805553658e+00
-6.751904483409992830e-01,2.924571915179457360e+00
-7.228624331363815436e-01,2.899243591220696192e+00
-7.976801245770892557e-01,2.976983460596775100e+00
-8.377995672362815727e-01,2.921754973221390106e+00
-9.228710630471812504e-01,3.018575886743874115e+00
-9.491455391584535661e-01,2.921170207665315210e+00
-9.986801721705985679e-01,2.900378400451973260e+00
-1.042819165604781384e+00,2.865122664943693387e+00
-8.986976629951518580e-01,1.927263685160887086e+00
-9.104968112228265520e-01,1.866795420785155368e+00
-9.122938028141863720e-01,1.790477694545706822e+00
-9.149999614169902484e-01,1.720864920417732646e+00
-9.099875341779137816e-01,1.641661229053753113e+00
-9.229998695138333931e-01,1.598682920066712976e+00
-9.342789668311056728e-01,1.554901556432508158e+00
-9.268287291607296696e-01,1.483236245624655059e+00
-9.133595887653683798e-01,1.406450644403953287e+00
-9.221090291008801065e-01,1.367083062164383467e+00
-9.191561245258637047e-01,1.312691184736741290e+00
-8.875556382601128558e-01,1.221615717069700846e+00
-9.153605795663933842e-01,1.214724698648676604e+00
-9.028674968751547736e-01,1.155617870125858593e+00
-8.939495601134450631e-01,1.103935934629952209e+00
-9.082588048960791305e-01,1.082420855440553220e+00
-9.158582663106318300e-01,1.053574572783178898e+00
-8.809103357385659194e-01,9.783501902660661775e-01
-8.886437732340559670e-01,9.529539205568300364e-01
-9.124337304182673636e-01,9.448529305425399372e-01
-8.916615249696869805e-01,8.916616611946536208e-01
-8.905426320222984415e-01,8.599871556708331699e-01
-8.692137585322362581e-01,8.105550688849562091e-01
-9.241005212564662452e-01,8.320639773375597681e-01
-8.271616102620718003e-01,7.190407320505353139e-01
-8.257959073905867253e-01,6.929251527962697610e-01
-7.569400997678116250e-01,6.129581068697226298e-01
-8.159851232140684640e-01,6.375175537947316284e-01
-7.970381633905840868e-01,6.006114372233608556e-01
-7.891960212629166582e-01,5.733845706284225185e-01
-8.416786068443767865e-01,5.893498081771569863e-01
-8.961895414841880569e-01,6.044875861564087405e-01
-9.338596261634438678e-01,6.064556426467150319e-01
-9.158919323153479342e-01,5.723129048141442077e-01
-9.621701972484459908e-01,5.781302907364042065e-01
-9.392045688009691418e-01,5.422501169090879758e-01
-9.572712808455996480e-01,5.306242425903274773e-01
-9.443123804328312776e-01,5.020999032903522563e-01
-9.230827302369533083e-01,4.703342437059807590e-01
-8.857614752677959169e-01,4.320148327297346214e-01
-9.266997089181340241e-01,4.321272700277154488e-01
-8.422888705672695320e-01,3.750112555804783199e-01
-8.459439556368446578e-01,3.590819937840717957e-01
-8.933416328282736130e-01,3.609335411973294550e-01
-8.873681754237430219e-01,3.406288199791025484e-01
-8.598186838401260523e-01,3.129484959389879362e-01
-8.556942570242225266e-01,2.946392484229642950e-01
-8.236149154065068867e-01,2.676087915946689377e-01
-7.927766166905619860e-01,2.423762152190220565e-01
-8.574453714582848107e-01,2.458685899171677292e-01
-7.597006212628905075e-01,2.035612439774965865e-01
-8.359097726694285635e-01,2.084157975740965063e-01
-8.462403772290731929e-01,1.953700693760491713e-01
-7.448593838411218249e-01,1.583248235630479173e-01
-7.426009560916289054e-01,1.443470771067224545e-01
-7.011831204610881052e-01,1.236375721003543371e-01
-7.634830774634977502e-01,1.209239156479293975e-01
-7.748847815231668656e-01,1.089030308981526335e-01
-7.205884491557017490e-01,8.847720792324130501e-02
-8.050654451037825288e-01,8.461586808558532735e-02
-7.416669871559744553e-01,6.488752749093439076e-02
-7.337083319755858257e-01,5.130595797703061539e-02
-7.564618614632965254e-01,3.964456224200105933e-02
-7.580379196128509411e-01,2.647134389899140003e-02
-3.104527047446977717e-01,5.419003572298893533e-03
-6.899999976158106563e-01,7.027720491036047890e-08
-8.163756526596153140e-01,-1.424980638688349600e-02
-7.000732882816214087e-01,-2.444702574405752463e-02
-7.544645766495707839e-01,-3.953973467164704353e-02
-6.638788655352603207e-01,-4.642286312624362837e-02
-6.500170203316865125e-01,-5.686905181317410823e-02
-7.374380134904167106e-01,-7.750777999393111684e-02
-6.679835469620801769e-01,-8.201799475791554661e-02
-7.032341226603816553e-01,-1.113812658417130119e-01
-7.947399121315725790e-01,-1.401340010561563654e-01
-7.264041403728738189e-01,-1.411985798920305235e-01
-7.859416703760891965e-01,-1.670569698850330742e-01
-7.531880809271291888e-01,-1.738870831835112596e-01
-8.034048343019040139e-01,-2.003112291366745679e-01
-7.698428975616984360e-01,-2.062786916584410657e-01
